team,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Arizona Diamondbacks,,,,,,,,,,,,,,"$898,528","$2,020,706","$2,893,851","$3,038,679","$3,115,758","$3,226,280","$2,406,233","$2,308,488","$2,295,547","$1,859,555","$2,364,383","$2,812,141","$2,335,314","$1,986,660","$2,733,512","$3,004,400","$3,763,904"
Atlanta Braves,"$673,045","$589,751","$517,018","$438,903","$370,411","$454,859","$736,140","$1,116,946","$1,261,861","$1,646,117","$1,628,808","$1,656,617","$1,686,403","$1,912,063","$2,522,069","$2,817,928","$2,965,683","$3,316,799","$3,934,951","$3,220,804","$3,458,292","$3,108,858","$3,117,530","$3,412,189","$3,335,385","$3,126,802","$3,346,257","$2,856,205","$3,254,501","$4,067,042"
Baltimore Marylands,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,373,259","$1,400,079","$1,549,515"
Baltimore Orioles,"$525,487","$448,319","$463,342","$501,188","$318,276","$261,624","$565,129","$720,626","$909,266","$1,253,218","$1,187,636","$1,702,822","$2,017,807","$2,411,854","$2,303,025","$2,808,532","$2,331,019","$1,890,421","$2,547,500","$1,843,690","$2,639,798","$2,592,342","$3,450,919","$2,099,883","$2,580,833","$3,138,942","$3,280,925","$2,762,643","$3,245,897","$3,693,429"
Boston Red Sox,"$435,902","$496,629","$676,278","$579,004","$672,375","$642,448","$1,172,250","$1,406,793","$1,197,438","$1,261,969","$877,176","$1,177,597","$1,281,140","$1,719,909","$2,048,306","$2,598,011","$3,438,620","$3,612,202","$3,701,722","$4,243,283","$4,410,897","$4,448,142","$5,108,079","$4,763,930","$4,184,345","$5,601,632","$5,991,203","$5,093,724","$5,225,172","$4,484,514"
Brooklyn Ward's Wonders,"$515,282","$497,492","$475,685","$426,692","$580,686","$620,571","$1,066,452","$1,158,311","$893,385","$786,132","$946,157","$776,703",,,,,,,,,,,,,,,,,,
Chicago Whales,"$577,405","$555,102","$550,308","$524,768","$444,500","$439,484","$927,027","$1,065,346","$1,230,833","$1,170,559","$922,057","$1,002,455","$1,317,354","$1,639,935","$1,684,946","$2,017,978","$2,396,883","$2,703,244","$2,852,440","$3,122,759","$3,108,319","$3,372,304","$3,691,494","$4,383,179","$5,392,360","$5,429,963","$5,001,893","$3,392,194","$3,867,989","$2,426,759"
Cincinnati Reds,"$379,996","$396,880","$356,981","$355,536","$381,793","$422,647","$1,011,744","$1,330,796","$1,359,990","$1,321,349","$1,268,961","$1,215,038","$1,244,200","$676,618","$1,095,573","$1,735,822","$1,814,296","$1,501,680","$2,119,845","$1,664,830","$2,063,086","$2,175,340","$2,210,483","$2,647,061","$3,198,196","$2,760,059","$2,531,571","$2,935,843","$4,256,178","$3,864,911"
Cleveland Forest Citys,"$468,866","$336,091","$443,410","$266,250","$290,616","$306,177","$604,274","$1,005,361","$1,280,521","$1,306,128","$1,341,751","$1,612,125","$1,603,889","$1,161,667","$800,625","$1,073,569","$2,431,617","$2,113,068","$1,961,923","$2,508,173","$2,784,370","$3,951,949","$4,179,686","$4,488,494","$3,694,942","$4,058,846","$4,732,926","$3,876,780","$4,288,046","$3,409,604"
Cleveland Indians,"$327,583","$251,919","$304,063","$406,205","$336,833","$439,000","$587,833","$267,801","$464,025","$871,157","$1,083,938","$1,551,850","$1,832,337","$1,842,429","$1,920,486","$2,918,491","$3,105,067","$2,630,315","$1,567,253","$1,143,977","$1,431,121","$2,241,260","$2,126,664","$3,037,310","$3,021,451","$2,110,482","$1,681,951","$2,704,493","$2,706,136","$3,159,688"
Colorado Rockies,,,,,,,,,"$313,742","$702,569","$948,742","$1,296,123","$1,451,989","$1,682,822","$1,821,642","$2,182,543","$2,751,590","$2,105,594","$2,239,322","$2,337,327","$1,649,621","$1,288,531","$2,078,500","$2,640,596","$2,785,222","$2,904,379","$3,390,310","$2,692,054","$2,976,363","$3,180,117"
Detroit Tigers,"$517,407","$456,878","$527,082","$559,547","$582,554","$533,128","$953,533","$975,816","$1,230,650","$1,336,984","$1,122,551","$732,438","$595,586","$687,571","$1,073,225","$2,157,969","$1,907,720","$1,966,000","$1,891,077","$1,672,571","$2,467,571","$2,950,460","$3,268,978","$4,589,507","$4,110,184","$4,550,553","$3,914,823","$4,562,069","$6,082,896","$6,645,891"
Florida Marlins,,,,,,,,,"$568,545","$584,676","$662,589","$969,453","$1,570,726","$1,033,067","$585,694","$709,714","$1,153,629","$1,499,283","$1,648,333","$1,560,853","$2,237,364","$586,860","$984,097","$660,955","$1,315,500","$2,112,212","$2,190,154",,,
Fort Wayne Kekiongas,,,,,,,,,,,,,,,,,,,,,"$3,271,304","$4,138,880","$3,641,711","$4,110,908","$4,061,036","$3,619,444","$4,469,134","$5,327,075","$4,775,952","$4,518,083"
