latitude,longitude,state,team,year,salary
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1985,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1986,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1987,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1988,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1989,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1990,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1991,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1992,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1993,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1994,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1995,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1996,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1997,
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1998,"$898,528"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,1999,"$2,020,706"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2000,"$2,893,851"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2001,"$3,038,679"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2002,"$3,115,758"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2003,"$3,226,280"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2004,"$2,406,233"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2005,"$2,308,488"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2006,"$2,295,547"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2007,"$1,859,555"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2008,"$2,364,383"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2009,"$2,812,141"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2010,"$2,335,314"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2011,"$1,986,660"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2012,"$2,733,512"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2013,"$3,004,400"
33.448377,-112.074037,Arizona,Arizona Diamondbacks,2014,"$3,763,904"
33.748995,-84.387982,Georgia,Atlanta Braves,1985,"$673,045"
33.748995,-84.387982,Georgia,Atlanta Braves,1986,"$589,751"
33.748995,-84.387982,Georgia,Atlanta Braves,1987,"$517,018"
33.748995,-84.387982,Georgia,Atlanta Braves,1988,"$438,903"
