id,team,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,totalSalary
1,Arizona Diamondbacks,,,,,,,,,,,,,,898528,2020706,2893851,3038679,3115758,3226280,2406233,2308488,2295547,1859555,2364383,2812141,2335314,1986660,2733512,3004400,3763904,43063938
2,Atlanta Braves,673045,589751,517018,438903,370411,454859,736140,1116946,1261861,1646117,1628808,1656617,1686403,1912063,2522069,2817928,2965683,3316799,3934951,3220804,3458292,3108858,3117530,3412189,3335385,3126802,3346257,2856205,3254501,4067042,66550237
3,Baltimore Marylands,,,,,,,,,,,,,,,,,,,,,,,,,,,,4373259,1400079,1549515,7322853
4,Baltimore Orioles,525487,448319,463342,501188,318276,261624,565129,720626,909266,1253218,1187636,1702822,2017807,2411854,2303025,2808532,2331019,1890421,2547500,1843690,2639798,2592342,3450919,2099883,2580833,3138942,3280925,2762643,3245897,3693429,56496393
5,Boston Red Sox,435902,496629,676278,579004,672375,642448,1172250,1406793,1197438,1261969,877176,1177597,1281140,1719909,2048306,2598011,3438620,3612202,3701722,4243283,4410897,4448142,5108079,4763930,4184345,5601632,5991203,5093724,5225172,4484514,82550691
6,Cincinnati Reds,379996,396880,356981,355536,381793,422647,1011744,1330796,1359990,1321349,1268961,1215038,1244200,676618,1095573,1735822,1814296,1501680,2119845,1664830,2063086,2175340,2210483,2647061,3198196,2760059,2531571,2935843,4256178,3864911,50297304
7,Cleveland Indians,327583,251919,304063,406205,336833,439000,587833,267801,464025,871157,1083938,1551850,1832337,1842429,1920486,2918491,3105067,2630315,1567253,1143977,1431121,2241260,2126664,3037310,3021451,2110482,1681951,2704493,2706136,3159688,48073118
8,Colorado Rockies,,,,,,,,,313742,702569,948742,1296123,1451989,1682822,1821642,2182543,2751590,2105594,2239322,2337327,1649621,1288531,2078500,2640596,2785222,2904379,3390310,2692054,2976363,3180117,45419699
9,Detroit Tigers,517407,456878,527082,559547,582554,533128,953533,975816,1230650,1336984,1122551,732438,595586,687571,1073225,2157969,1907720,1966000,1891077,1672571,2467571,2950460,3268978,4589507,4110184,4550553,3914823,4562069,6082896,6645891,64623220
10,Florida Marlins,,,,,,,,,568545,584676,662589,969453,1570726,1033067,585694,709714,1153629,1499283,1648333,1560853,2237364,586860,984097,660955,1315500,2112212,2190154,,,,22633704
11,Houston Astros,499653,411387,450299,472545,556648,591290,514100,513583,1041741,1003818,949162,918935,1121855,1324188,1716063,1899597,2164738,2349941,2732308,3015880,2953038,3547777,3250333,3293719,3814682,3298411,2437724,2332731,813214,1755815,51745175
12,Los Angeles Angels of Anaheim,,,,,,,,,,,,,1004370,1214147,1384704,1715472,1584506,2204345,2927099,3723506,,,,,,,,,,,15758149
13,Los Angeles Dodgers,476866,466056,488407,561684,679728,609106,1093022,1544420,1229125,1225806,1061438,1104844,1512677,1435882,2378307,3381703,3762274,3648114,4222905,3440815,2767967,3515971,3739811,4089260,4016584,3531778,3472967,3171453,6980069,6781706,76390743
14,Milwaukee Brewers,473508,346988,289252,384133,493121,535045,631314,586012,484598,682071,374667,524661,622435,665021,914633,1139339,1339768,1560673,1683191,1267148,1597393,2214167,2629130,2790948,3083942,2796837,2849911,3755921,3077881,3748778,43542487
15,Minnesota Twins,448656,373836,370020,463659,492085,470153,988879,1073482,788254,865393,635431,669358,888121,963017,733017,635365,893704,1497222,2134808,2060962,2080963,2438308,2551411,2277311,2251699,3484256,4509480,3484630,2790278,3102315,46416072
16,New York Mets,515941,549776,553869,610773,710181,678839,1253462,1715462,1301456,998599,675000,741803,1137154,1578121,2099745,3180391,3212911,3639754,4174158,3452178,3752067,3743888,3841055,4593113,5334785,4800819,4401752,3457555,1648278,3168777,71521661
17,Oakland Athletics,431362,315465,449263,421304,624523,584927,1423045,1282344,1050343,1035530,1019979,574135,615859,608657,814394,1184123,1252250,1481636,1933109,2122345,2131760,2489723,2834534,1713112,2292963,1726716,2376304,1845750,1939758,2784938,41360151
18,Philadelphia Phillies,532893,373876,479760,532231,407846,439122,749578,812794,891823,987469,783486,798012,916413,1037071,932132,1631310,1602455,2069821,2440690,3573814,3673923,3269383,2980940,3495710,4185335,5068871,5765879,5817965,6533200,5654530,68438332
19,Pittsburgh Pirates,485658,373914,306080,222167,439224,432111,875358,1212292,752196,712272,556223,657643,307762,430429,649939,1112628,1863253,1459434,1957587,1193627,1361893,1668491,1427327,1872684,1872808,1294185,1553345,2248286,2752214,2756357,34807385
20,San Francisco Giants,411086,319536,316957,495200,534387,568686,1191064,1326527,1130645,1332458,934943,1061278,1112262,1520208,1606726,2066839,2343710,2899994,3186622,2645780,3469212,3463708,3469964,2641190,2965230,3522905,4377716,3920689,5006441,5839649,65681610
21,Seattle Mariners,256278,229166,251500,282402,407479,369226,603532,799305,990798,885712,1042323,1215544,1298146,1423343,1503472,2265962,2668601,3211307,3220710,2911280,2742323,3257772,3942994,4525634,3532292,3089643,2969331,2927789,2846348,3701244,59371453
22,Texas Rangers,383825,259351,220000,242824,396459,402010,867833,971876,957288,999200,1017102,1183077,1444563,1885737,2556998,2722920,2859145,3768790,3449722,1898290,1801581,2200925,2439953,2334908,2350993,1905191,3182733,4635037,3880090,4677294,57895715
23,Toronto Blue Jays,440628,467076,455630,470816,580774,657661,796097,1244130,1432702,1447789,1533030,895609,1426662,1605500,1420135,1793533,2746286,2650494,1898852,1923731,1758442,2744808,3034919,3621996,2876368,2074467,2018316,2778119,4073810,4396804,55265181
